account_id,customer_id,account_type,currency,balance,credit_limit,opened_date,closed_date,account_status,branch_code,last_updated_ts
ACC00000001,CUST000125,LOAN,GBP,53811.7,5000,2024-09-23,,ACTIVE,BR866,2025-09-24 07:58:00+00:00
ACC00000002,CUST000358,CURRENT,GBP,450719.74,25000,2018-05-02,,ACTIVE,BR995,2026-04-25 23:52:00+00:00
ACC00000003,CUST000323,CURRENT,USD,368084.5,5000,2024-01-23,,ACTIVE,BR660,2025-06-20 18:29:00+00:00
ACC00000004,CUST000415,CURRENT,USD,219859.3,5000,2020-06-30,,ACTIVE,BR528,2024-02-11 02:20:00+00:00
ACC00000005,CUST000111,INVESTMENT,GBP,239948.65,5000,2015-10-06,,ACTIVE,BR508,2025-01-16 01:09:00+00:00
ACC00000006,CUST000040,CURRENT,USD,4912.03,25000,2017-08-31,,ACTIVE,BR109,2025-09-15 23:40:00+00:00
ACC00000007,CUST000313,LOAN,GBP,222005.72,5000,2020-05-27,,ACTIVE,BR403,2026-04-11 03:24:00+00:00
ACC00000008,CUST000259,CURRENT,GBP,117527.97,50000,2023-11-24,,ACTIVE,BR220,2025-06-08 23:05:00+00:00
ACC00000009,CUST000400,CURRENT,EUR,143889.86,50000,2025-12-16,,DORMANT,BR545,2024-12-11 20:47:00+00:00
ACC00000010,CUST000307,CURRENT,USD,413872.64,50000,2021-10-15,,ACTIVE,BR401,2024-11-05 13:25:00+00:00
ACC00000011,CUST000347,CURRENT,GBP,192825.36,25000,2018-11-14,,ACTIVE,BR837,2024-01-23 05:47:00+00:00
ACC00000012,CUST000136,CURRENT,USD,163594.28,25000,2023-06-03,,CLOSED,BR792,2024-09-20 23:41:00+00:00
ACC00000013,CUST000325,LOAN,GBP,46845.08,10000,2017-01-04,,CLOSED,BR377,2026-01-30 02:53:00+00:00
ACC00000014,CUST000266,CURRENT,EUR,423052.91,0,2025-05-26,,ACTIVE,BR635,2025-03-19 03:50:00+00:00
ACC00000015,CUST000135,CURRENT,GBP,213052.92,10000,2023-07-28,,ACTIVE,BR430,2024-07-15 18:16:00+00:00
ACC00000016,CUST000095,SAVINGS,GBP,204921.38,5000,2021-03-04,,ACTIVE,BR729,2024-11-06 19:32:00+00:00
ACC00000017,CUST000035,SAVINGS,GBP,245330.12,25000,2024-12-25,,FROZEN,BR480,2025-07-06 07:44:00+00:00
ACC00000018,CUST000069,CURRENT,GBP,287223.94,25000,2023-03-29,,ACTIVE,BR677,2026-03-29 01:23:00+00:00
