flag_id,customer_id,account_id,flag_type,severity,flag_status,raised_date,closed_date,raised_by,description,last_updated_ts
FLAG000001,CUST000007,ACC00000451,AML,MEDIUM,UNDER_REVIEW,2024-12-29 04:05:00+00:00,,USER197,Flag description 1,2024-08-12 05:49:00+00:00
FLAG000002,CUST000435,ACC00000075,FRAUD,CRITICAL,OPEN,2024-04-22 19:19:00+00:00,,USER900,Flag description 2,2024-03-04 16:35:00+00:00
FLAG000003,CUST000065,ACC00000762,ADVERSE_MEDIA,HIGH,UNDER_REVIEW,2023-03-08 17:39:00+00:00,,USER126,Flag description 3,2026-01-25 20:34:00+00:00
FLAG000004,CUST000081,ACC00000077,FRAUD,LOW,UNDER_REVIEW,2023-09-13 21:10:00+00:00,,USER512,Flag description 4,2026-02-05 18:06:00+00:00
FLAG000005,CUST000262,ACC00000168,FRAUD,LOW,OPEN,2025-03-30 04:23:00+00:00,,USER166,Flag description 5,2024-09-03 20:29:00+00:00
FLAG000006,CUST000375,ACC00000571,AML,LOW,UNDER_REVIEW,2023-05-17 21:16:00+00:00,2025-07-07 14:50:00+00:00,USER707,Flag description 6,2025-08-06 06:11:00+00:00
FLAG000007,CUST000413,ACC00000756,FRAUD,LOW,UNDER_REVIEW,2023-03-28 06:14:00+00:00,,USER429,Flag description 7,2025-01-17 23:53:00+00:00
FLAG000008,CUST000223,ACC00000459,ADVERSE_MEDIA,LOW,OPEN,2023-04-11 03:07:00+00:00,,USER515,Flag description 8,2025-11-23 14:11:00+00:00
FLAG000009,CUST000257,ACC00000773,AML,MEDIUM,OPEN,2026-03-01 02:48:00+00:00,,USER171,Flag description 9,2025-01-27 17:29:00+00:00
FLAG000010,CUST000293,ACC00000645,FRAUD,LOW,OPEN,2025-09-04 02:34:00+00:00,,USER380,Flag description 10,2026-03-21 00:02:00+00:00
FLAG000011,CUST000254,,FRAUD,HIGH,OPEN,2023-12-10 14:53:00+00:00,,USER793,Flag description 11,2024-04-11 21:59:00+00:00
FLAG000012,CUST000081,ACC00000716,FRAUD,LOW,ESCALATED,2023-01-31 05:06:00+00:00,,USER201,Flag description 12,2024-11-28 23:42:00+00:00
FLAG000013,CUST000471,ACC00000236,PEP,HIGH,UNDER_REVIEW,2023-09-16 10:34:00+00:00,,USER639,Flag description 13,2025-07-25 06:26:00+00:00
FLAG000014,CUST000311,ACC00000422,SANCTION,LOW,ESCALATED,2024-06-20 01:00:00+00:00,,USER737,Flag description 14,2024-07-04 20:03:00+00:00
FLAG000015,CUST000231,ACC00000571,FRAUD,HIGH,CLOSED,2023-06-08 01:37:00+00:00,,USER368,Flag description 15,2024-09-14 13:14:00+00:00
FLAG000016,CUST000098,ACC00000627,AML,HIGH,OPEN,2023-12-08 10:49:00+00:00,,USER439,Flag description 16,2026-02-04 16:00:00+00:00
FLAG000017,CUST000380,ACC00000575,AML,MEDIUM,UNDER_REVIEW,2025-11-14 18:59:00+00:00,,USER117,Flag description 17,2025-02-19 04:57:00+00:00
FLAG000018,CUST000385,ACC00000417,FRAUD,LOW,OPEN,2024-04-10 18:36:00+00:00,2024-04-28 12:24:00+00:00,USER305,Flag description 18,2026-04-15 00:59:00+00:00
FLAG000019,CUST000316,ACC00000625,FRAUD,CRITICAL,OPEN,2025-01-30 01:42:00+00:00,,USER771,Flag description 19,2024-06-29 15:23:00+00:00
FLAG000020,CUST000060,ACC00000757,FRAUD,CRITICAL,OPEN,2024-10-10 01:01:00+00:00,,USER999,Flag description 20,2024-03-21 03:00:00+00:00
FLAG000021,CUST000071,,PEP,MEDIUM,UNDER_REVIEW,2024-04-06 17:55:00+00:00,,USER942,Flag description 21,2026-03-30 10:17:00+00:00
FLAG000022,CUST000408,ACC00000408,ADVERSE_MEDIA,LOW,ESCALATED,2024-01-11 14:51:00+00:00,,USER104,Flag description 22,2025-08-20 14:41:00+00:00
FLAG000023,CUST000494,ACC00000495,FRAUD,LOW,OPEN,2025-11-04 20:40:00+00:00,,USER379,Flag description 23,2024-09-04 08:06:00+00:00
FLAG000024,CUST000353,ACC00000005,PEP,HIGH,UNDER_REVIEW,2025-08-29 09:08:00+00:00,2025-08-06 20:24:00+00:00,USER257,Flag description 24,2025-02-24 11:25:00+00:00
FLAG000025,CUST000402,ACC00000287,FRAUD,LOW,OPEN,2025-05-29 01:31:00+00:00,,USER383,Flag description 25,2025-05-18 01:00:00+00:00
FLAG000026,CUST000438,ACC00000351,AML,CRITICAL,ESCALATED,2025-09-22 11:56:00+00:00,,USER322,Flag description 26,2024-07-10 17:32:00+00:00
FLAG000027,CUST000280,,PEP,LOW,OPEN,2024-08-26 17:16:00+00:00,,USER348,Flag description 27,2025-08-29 06:26:00+00:00
FLAG000028,CUST000040,ACC00000074,PEP,LOW,OPEN,2026-01-09 15:56:00+00:00,,USER665,Flag description 28,2024-01-24 06:40:00+00:00
FLAG000029,CUST000241,ACC00000017,FRAUD,HIGH,UNDER_REVIEW,2023-11-06 16:04:00+00:00,,USER651,Flag description 29,2026-04-26 15:17:00+00:00
FLAG000030,CUST000070,ACC00000479,AML,LOW,OPEN,2024-06-04 22:23:00+00:00,,USER211,Flag description 30,2025-09-27 04:14:00+00:00
FLAG000031,CUST000327,ACC00000163,FRAUD,MEDIUM,CLOSED,2024-02-13 16:20:00+00:00,,USER451,Flag description 31,2024-07-12 21:34:00+00:00
FLAG000032,CUST000406,ACC00000733,AML,HIGH,UNDER_REVIEW,2026-02-07 06:03:00+00:00,,USER130,Flag description 32,2024-08-04 03:33:00+00:00
FLAG000033,CUST000123,ACC00000099,FRAUD,HIGH,OPEN,2026-04-22 02:32:00+00:00,,USER644,Flag description 33,2024-11-07 20:15:00+00:00
FLAG000034,CUST000268,ACC00000549,AML,LOW,OPEN,2023-11-26 03:32:00+00:00,,USER230,Flag description 34,2024-11-21 21:10:00+00:00
FLAG000035,CUST000055,ACC00000246,PEP,MEDIUM,OPEN,2026-03-20 20:46:00+00:00,,USER265,Flag description 35,2025-04-09 12:46:00+00:00
FLAG000036,CUST000042,ACC00000789,AML,HIGH,OPEN,2025-07-06 05:49:00+00:00,,USER600,Flag description 36,2025-10-17 02:07:00+00:00
FLAG000037,CUST000391,ACC00000657,FRAUD,LOW,CLOSED,2023-11-13 17:52:00+00:00,2024-09-05 01:07:00+00:00,USER584,Flag description 37,2026-04-30 15:25:00+00:00
FLAG000038,CUST000498,ACC00000228,SANCTION,MEDIUM,ESCALATED,2025-07-22 07:25:00+00:00,,USER627,Flag description 38,2024-05-21 06:16:00+00:00
FLAG000039,CUST000301,ACC00000067,AML,LOW,OPEN,2023-12-03 02:08:00+00:00,,USER865,Flag description 39,2024-01-27 17:09:00+00:00
FLAG000040,CUST000485,ACC00000406,FRAUD,HIGH,CLOSED,2024-01-09 18:10:00+00:00,,USER797,Flag description 40,2025-02-04 07:50:00+00:00
FLAG000041,CUST000421,ACC00000147,FRAUD,MEDIUM,UNDER_REVIEW,2026-02-19 18:46:00+00:00,,USER609,Flag description 41,2025-07-27 17:26:00+00:00
FLAG000042,CUST000443,ACC00000181,AML,LOW,UNDER_REVIEW,2024-01-06 23:41:00+00:00,,USER264,Flag description 42,2026-02-16 09:20:00+00:00
FLAG000043,CUST000193,ACC00000461,SANCTION,MEDIUM,UNDER_REVIEW,2024-08-08 01:31:00+00:00,2025-02-24 03:40:00+00:00,USER129,Flag description 43,2024-06-12 03:39:00+00:00
FLAG000044,CUST000222,,SANCTION,HIGH,CLOSED,2023-05-09 00:44:00+00:00,,USER420,Flag description 44,2025-04-13 04:50:00+00:00
FLAG000045,CUST000306,,PEP,MEDIUM,UNDER_REVIEW,2023-05-21 12:53:00+00:00,,USER146,Flag description 45,2024-04-18 08:51:00+00:00
FLAG000046,CUST000010,ACC00000287,ADVERSE_MEDIA,MEDIUM,UNDER_REVIEW,2025-05-26 07:37:00+00:00,2024-11-10 03:59:00+00:00,USER915,Flag description 46,2026-01-04 06:21:00+00:00
FLAG000047,CUST000341,,AML,MEDIUM,CLOSED,2024-01-06 18:38:00+00:00,,USER922,Flag description 47,2025-04-01 05:18:00+00:00
FLAG000048,CUST000087,,FRAUD,CRITICAL,UNDER_REVIEW,2025-01-01 09:35:00+00:00,,USER182,Flag description 48,2024-07-28 20:12:00+00:00
FLAG000049,CUST000303,ACC00000018,ADVERSE_MEDIA,LOW,CLOSED,2023-09-27 07:11:00+00:00,2024-04-19 07:31:00+00:00,USER761,Flag description 49,2024-10-23 18:06:00+00:00
FLAG000050,CUST000115,ACC00000728,AML,MEDIUM,OPEN,2023-01-04 06:10:00+00:00,,USER758,Flag description 50,2024-04-24 00:03:00+00:00
FLAG000051,CUST000079,ACC00000191,FRAUD,MEDIUM,OPEN,2024-07-30 18:32:00+00:00,,USER180,Flag description 51,2024-09-27 11:56:00+00:00
FLAG000052,CUST000115,ACC00000744,AML,HIGH,OPEN,2023-11-15 12:42:00+00:00,2024-08-30 17:02:00+00:00,USER772,Flag description 52,2025-01-04 06:42:00+00:00
FLAG000053,CUST000358,ACC00000798,AML,HIGH,CLOSED,2024-01-24 16:58:00+00:00,,USER169,Flag description 53,2024-05-01 23:52:00+00:00
FLAG000054,CUST000163,ACC00000326,FRAUD,LOW,ESCALATED,2024-11-23 11:47:00+00:00,,USER763,Flag description 54,2024-03-02 16:27:00+00:00
FLAG000055,CUST000464,ACC00000373,FRAUD,LOW,OPEN,2024-02-09 16:06:00+00:00,,USER359,Flag description 55,2025-10-27 23:37:00+00:00
FLAG000056,CUST000206,ACC00000786,FRAUD,MEDIUM,CLOSED,2026-04-29 02:04:00+00:00,,USER129,Flag description 56,2025-08-13 04:14:00+00:00
FLAG000057,CUST000385,ACC00000395,FRAUD,MEDIUM,ESCALATED,2025-08-06 13:31:00+00:00,,USER483,Flag description 57,2024-11-05 05:31:00+00:00
FLAG000058,CUST000462,ACC00000402,ADVERSE_MEDIA,HIGH,ESCALATED,2024-12-26 04:22:00+00:00,,USER338,Flag description 58,2024-08-12 09:32:00+00:00
FLAG000059,CUST000362,ACC00000276,PEP,LOW,UNDER_REVIEW,2024-09-05 12:28:00+00:00,,USER293,Flag description 59,2024-05-07 00:29:00+00:00
FLAG000060,CUST000490,ACC00000349,PEP,LOW,ESCALATED,2024-12-03 09:45:00+00:00,,USER526,Flag description 60,2025-04-26 04:21:00+00:00
FLAG000061,CUST000194,ACC00000029,PEP,MEDIUM,UNDER_REVIEW,2025-05-19 08:56:00+00:00,,USER638,Flag description 61,2025-08-11 22:24:00+00:00
