transaction_id,account_id,transaction_date,value_date,transaction_type,amount,currency,merchant_category_code,counterparty_id,channel,reference,last_updated_ts
TXN0000000001,ACC00000750,2025-07-03 02:01:00+00:00,2025-12-10 02:11:00+00:00,CREDIT,550.97,GBP,9235,CP8197,POS,REFT6E37TD542,2025-10-26 11:51:00+00:00
TXN0000000002,ACC00000346,2025-01-11 10:41:00+00:00,2024-11-03 20:36:00+00:00,DEBIT,454.71,USD,6981,CP3333,POS,REFV8IHPYXKE2,2024-11-24 22:34:00+00:00
TXN0000000003,ACC00000755,2025-06-15 21:02:00+00:00,2026-03-21 15:46:00+00:00,DEBIT,1373.32,GBP,8570,CP8497,ATM,REFZYEKH0E6DO,2025-07-19 23:12:00+00:00
TXN0000000004,ACC00000020,2024-02-07 00:58:00+00:00,2025-04-05 07:48:00+00:00,DEBIT,1130.01,USD,8038,CP8337,BRANCH,REF3ULZ8DAX75,2026-03-04 17:25:00+00:00
TXN0000000005,ACC00000166,2024-06-04 15:54:00+00:00,2025-10-23 13:45:00+00:00,CREDIT,1423.98,GBP,1634,CP5537,ONLINE,REFCJBJIWQ9OE,2024-04-13 21:38:00+00:00
TXN0000000006,ACC00000454,2025-11-29 05:46:00+00:00,2026-03-19 14:30:00+00:00,CREDIT,2297.19,GBP,3995,CP5890,ONLINE,REFTUPBI6VDXF,2024-05-17 22:29:00+00:00
TXN0000000007,ACC00000138,2024-05-11 02:19:00+00:00,2024-06-24 08:19:00+00:00,CREDIT,447.99,GBP,8616,CP8850,POS,REFVUEAF87CLA,2025-02-08 05:12:00+00:00
TXN0000000008,ACC00000787,2024-07-09 10:29:00+00:00,2024-07-14 20:19:00+00:00,CREDIT,325.13,USD,4225,CP1395,POS,REFYPPKYM9VNR,2024-08-24 21:30:00+00:00
TXN0000000009,ACC00000545,2025-11-09 06:07:00+00:00,2024-07-21 20:56:00+00:00,DEBIT,654.76,USD,2984,CP6597,ONLINE,REF3LSDXJCIGH,2025-09-03 18:22:00+00:00
TXN0000000010,ACC00000616,2025-03-11 00:38:00+00:00,2024-12-16 09:39:00+00:00,DEBIT,312.48,GBP,7958,CP4667,ONLINE,REFDVV6SFFNVO,2024-02-22 16:39:00+00:00
TXN0000000011,ACC00000513,2024-11-04 07:36:00+00:00,2025-04-18 16:31:00+00:00,CREDIT,1639.8,GBP,1325,CP8248,BRANCH,REFJZ3G4FJQ61,2025-07-06 19:34:00+00:00
TXN0000000012,ACC00000461,2025-12-09 03:49:00+00:00,2024-06-17 19:55:00+00:00,DEBIT,712.57,GBP,4909,CP7345,ATM,REFIDL8P6947A,2026-02-18 04:14:00+00:00
TXN0000000013,ACC00000641,2024-08-10 12:33:00+00:00,2025-01-20 11:30:00+00:00,DEBIT,1670.97,EUR,6707,CP8477,ONLINE,REFREJAOS6AYX,2024-11-23 04:25:00+00:00
TXN0000000014,ACC00000121,2026-04-05 20:44:00+00:00,2024-04-22 10:57:00+00:00,CREDIT,363.71,USD,1871,CP8130,ONLINE,REFM9KPJ588N7,2026-03-17 17:00:00+00:00
TXN0000000015,ACC00000254,2024-03-29 15:10:00+00:00,2025-02-19 22:54:00+00:00,DEBIT,185.07,USD,3518,CP7533,ATM,REFP8RRRZ1FEE,2024-09-14 21:02:00+00:00
TXN0000000016,ACC00000197,2024-02-05 06:07:00+00:00,2024-11-10 07:57:00+00:00,CREDIT,1860.48,GBP,6003,CP5476,ONLINE,REFWLLKDVAC3W,2024-03-30 19:13:00+00:00
TXN0000000017,ACC00000591,2024-07-21 12:39:00+00:00,2025-06-14 21:41:00+00:00,CREDIT,301.59,GBP,6574,CP7707,ONLINE,REFHUJABF8S2H,2025-06-10 14:40:00+00:00
TXN0000000018,ACC00000611,2024-12-20 11:45:00+00:00,2024-02-14 05:39:00+00:00,DEBIT,1926.53,USD,1255,CP1819,ONLINE,REFJKNHV4XNUT,2025-08-10 09:47:00+00:00
TXN0000000019,ACC00000390,2024-06-06 16:49:00+00:00,2025-08-08 01:48:00+00:00,DEBIT,887.29,GBP,7453,CP4617,ATM,REF7KWAOO7L4C,2026-01-16 12:27:00+00:00
